"especie","salmao","atum","linguado","bacalhau","sardinha"
"tubarao_branco","200","180","150","220","100"
"tubarao_martelo","180","150","160","200","120"
"tubarao_tigre","200","170","180","210","150"
"tubarao_salmao","180","150","160","200","120"
"tubarao_groelandia","200","180","160","220","150"
"tubarao_galha_branca","180","150","160","200","120"
"tubarao_branco_frade","190","160","170","210","130"
"tubarao_azul","170","140","150","190","110"
"tubarao_cabeca_chata","200","170","180","220","140"
"tubarao_mako","220","190","200","240","160"
